2026-08-16 04:14:16 | WARNING  | app.services.admin_user_service | admin_user_service.py:156 | Admin user lookup received a malformed user_id: not-a-uuid
2026-08-16 04:14:16 | WARNING  | app.api.v1.history.router | router.py:394 | Prediction history detail retrieval failed: user_id=5ee67cf4-db24-4151-bb6a-97f520d8ae5e history_id=does-not-exist not_found=True
2026-08-16 04:14:16 | WARNING  | app.core.exceptions | exceptions.py:135 | Application error on GET /api/v1/predictions/history/does-not-exist: The requested prediction history record was not found.
2026-08-16 04:14:16 | WARNING  | app.api.v1.history.router | router.py:394 | Prediction history detail retrieval failed: user_id=e16539dc-0467-44bd-b807-07a4cceda5e2 history_id=hist-0002 not_found=True
2026-08-16 04:14:16 | WARNING  | app.core.exceptions | exceptions.py:135 | Application error on GET /api/v1/predictions/history/hist-0002: The requested prediction history record was not found.
2026-08-16 04:14:16 | WARNING  | app.core.exceptions | exceptions.py:135 | Application error on GET /api/v1/predictions/history/hist-0001: Authentication credentials were not provided.
2026-08-16 04:14:16 | WARNING  | app.core.exceptions | exceptions.py:135 | Application error on GET /api/v1/reports/analytics: Authentication credentials were not provided.
2026-08-16 04:14:16 | WARNING  | app.reports.analytics.analytics_validator | analytics_validator.py:76 | Analytics request rejected: total_records=2 exceeds max_rows=1 user_id=68c8f86f-563f-45b2-8436-0d823ce03cbd
2026-08-16 04:14:16 | WARNING  | app.core.exceptions | exceptions.py:135 | Application error on GET /api/v1/reports/analytics: The matching prediction history contains 2 records, which exceeds the maximum of 1 supported for a single analytics computation.
2026-08-16 04:14:16 | WARNING  | app.core.exceptions | exceptions.py:135 | Application error on GET /api/v1/reports/export/csv: Authentication credentials were not provided.
2026-08-16 04:14:16 | WARNING  | app.reports.csv.csv_validator | csv_validator.py:91 | CSV export rejected: total_records=2 exceeds max_rows=1 user_id=e8c343cd-cdc5-4284-ab27-14dded405ea2
2026-08-16 04:14:16 | WARNING  | app.core.exceptions | exceptions.py:135 | Application error on GET /api/v1/reports/export/csv: The matching prediction history contains 2 records, which exceeds the maximum of 1 supported for a single CSV export.
2026-08-16 04:14:17 | WARNING  | app.core.exceptions | exceptions.py:135 | Application error on GET /api/v1/reports/export/pdf: Authentication credentials were not provided.
2026-08-16 04:14:17 | WARNING  | app.reports.pdf.pdf_validator | pdf_validator.py:100 | PDF export rejected: total_records=2 exceeds max_rows=1 user_id=7b645d73-978b-4dd3-b883-e05af115239f
2026-08-16 04:14:17 | WARNING  | app.core.exceptions | exceptions.py:135 | Application error on GET /api/v1/reports/export/pdf: The matching prediction history contains 2 records, which exceeds the maximum of 1 supported for a single PDF export.
2026-08-16 04:14:17 | WARNING  | app.core.exceptions | exceptions.py:135 | Application error on GET /api/v1/reports/analytics: The provided token is invalid.
2026-08-16 04:14:17 | WARNING  | app.core.exceptions | exceptions.py:135 | Application error on GET /api/v1/reports/export/csv: Authentication credentials were not provided.
2026-08-16 04:14:17 | WARNING  | app.core.exceptions | exceptions.py:135 | Application error on GET /api/v1/reports/export/csv: The CSV export could not be generated.
2026-08-16 04:14:17 | WARNING  | app.repositories.prediction_history_repository | prediction_history_repository.py:556 | Prediction history detail retrieval received a malformed history_id.
2026-08-16 04:14:17 | WARNING  | app.repositories.prediction_history_repository | prediction_history_repository.py:541 | Prediction history detail retrieval received a malformed user_id.
2026-08-16 04:14:17 | WARNING  | app.repositories.prediction_history_repository | prediction_history_repository.py:541 | Prediction history count retrieval received a malformed user_id.
2026-08-16 04:14:17 | WARNING  | app.repositories.prediction_history_repository | prediction_history_repository.py:541 | Prediction history list retrieval received a malformed user_id.
2026-08-16 04:14:17 | WARNING  | app.ml.ensemble.ensemble_engine | ensemble_engine.py:71 | Ensemble prediction unavailable: 0/2 models produced a successful prediction.
2026-08-16 04:14:17 | WARNING  | app.reports.analytics.analytics_validator | analytics_validator.py:49 | Analytics request rejected: missing authenticated user.
2026-08-16 04:14:17 | WARNING  | app.reports.analytics.analytics_validator | analytics_validator.py:76 | Analytics request rejected: total_records=2 exceeds max_rows=1 user_id=user-0001
2026-08-16 04:14:17 | WARNING  | app.reports.analytics.analytics_validator | analytics_validator.py:76 | Analytics request rejected: total_records=2 exceeds max_rows=1 user_id=user-0001
2026-08-16 04:14:17 | WARNING  | app.reports.analytics.analytics_validator | analytics_validator.py:49 | Analytics request rejected: missing authenticated user.
2026-08-16 04:14:17 | WARNING  | app.reports.analytics.analytics_validator | analytics_validator.py:49 | Analytics request rejected: missing authenticated user.
2026-08-16 04:14:17 | WARNING  | app.reports.analytics.analytics_validator | analytics_validator.py:49 | Analytics request rejected: missing authenticated user.
2026-08-16 04:14:17 | WARNING  | app.reports.analytics.analytics_validator | analytics_validator.py:49 | Analytics request rejected: missing authenticated user.
2026-08-16 04:14:17 | WARNING  | app.reports.analytics.analytics_validator | analytics_validator.py:76 | Analytics request rejected: total_records=1001 exceeds max_rows=1000 user_id=user-0001
2026-08-16 04:14:17 | WARNING  | app.reports.csv.csv_validator | csv_validator.py:53 | CSV export request rejected: missing authenticated user.
2026-08-16 04:14:17 | WARNING  | app.reports.csv.csv_validator | csv_validator.py:91 | CSV export rejected: total_records=2 exceeds max_rows=1 user_id=user-0001
2026-08-16 04:14:17 | WARNING  | app.reports.csv.csv_validator | csv_validator.py:91 | CSV export rejected: total_records=2 exceeds max_rows=1 user_id=user-0001
2026-08-16 04:14:17 | WARNING  | app.reports.csv.csv_validator | csv_validator.py:124 | CSV export rejected: content_size_bytes=370 exceeds max_size_bytes=1 user_id=user-0001
2026-08-16 04:14:17 | WARNING  | app.reports.csv.csv_validator | csv_validator.py:53 | CSV export request rejected: missing authenticated user.
2026-08-16 04:14:17 | WARNING  | app.reports.csv.csv_validator | csv_validator.py:53 | CSV export request rejected: missing authenticated user.
2026-08-16 04:14:17 | WARNING  | app.reports.csv.csv_validator | csv_validator.py:53 | CSV export request rejected: missing authenticated user.
2026-08-16 04:14:17 | WARNING  | app.reports.csv.csv_validator | csv_validator.py:91 | CSV export rejected: total_records=1001 exceeds max_rows=1000 user_id=user-0001
2026-08-16 04:14:17 | WARNING  | app.reports.csv.csv_validator | csv_validator.py:124 | CSV export rejected: content_size_bytes=5000001 exceeds max_size_bytes=5000000 user_id=user-0001
2026-08-16 04:14:17 | WARNING  | app.reports.pdf.pdf_validator | pdf_validator.py:55 | PDF export request rejected: missing authenticated user.
2026-08-16 04:14:17 | WARNING  | app.reports.pdf.pdf_validator | pdf_validator.py:61 | PDF export request rejected: unsupported page_size=letter
2026-08-16 04:14:17 | WARNING  | app.reports.pdf.pdf_validator | pdf_validator.py:100 | PDF export rejected: total_records=2 exceeds max_rows=1 user_id=user-0001
2026-08-16 04:14:17 | WARNING  | app.reports.pdf.pdf_validator | pdf_validator.py:100 | PDF export rejected: total_records=2 exceeds max_rows=1 user_id=user-0001
2026-08-16 04:14:17 | WARNING  | app.reports.pdf.pdf_validator | pdf_validator.py:134 | PDF export rejected: content_size_bytes=2591 exceeds max_size_bytes=1 user_id=user-0001
2026-08-16 04:14:17 | WARNING  | app.reports.pdf.pdf_validator | pdf_validator.py:55 | PDF export request rejected: missing authenticated user.
2026-08-16 04:14:17 | WARNING  | app.reports.pdf.pdf_validator | pdf_validator.py:55 | PDF export request rejected: missing authenticated user.
2026-08-16 04:14:17 | WARNING  | app.reports.pdf.pdf_validator | pdf_validator.py:55 | PDF export request rejected: missing authenticated user.
2026-08-16 04:14:17 | WARNING  | app.reports.pdf.pdf_validator | pdf_validator.py:61 | PDF export request rejected: unsupported page_size=letter
2026-08-16 04:14:17 | WARNING  | app.reports.pdf.pdf_validator | pdf_validator.py:61 | PDF export request rejected: unsupported page_size=None
2026-08-16 04:14:17 | WARNING  | app.reports.pdf.pdf_validator | pdf_validator.py:100 | PDF export rejected: total_records=1001 exceeds max_rows=1000 user_id=user-0001
2026-08-16 04:14:17 | WARNING  | app.reports.pdf.pdf_validator | pdf_validator.py:134 | PDF export rejected: content_size_bytes=5000001 exceeds max_size_bytes=5000000 user_id=user-0001
2026-08-16 04:14:17 | WARNING  | app.reports.validator | validator.py:49 | Report request rejected: missing authenticated user.
2026-08-16 04:14:17 | WARNING  | app.reports.validator | validator.py:85 | Report request rejected: total_records=2 exceeds max_rows=1 user_id=user-0001
2026-08-16 04:14:17 | WARNING  | app.reports.validator | validator.py:85 | Report request rejected: total_records=2 exceeds max_rows=1 user_id=user-0001
2026-08-16 04:14:17 | WARNING  | app.reports.validator | validator.py:85 | Report request rejected: total_records=1450 exceeds max_rows=1000 user_id=user-0001
2026-08-16 04:14:17 | WARNING  | app.reports.validator | validator.py:49 | Report request rejected: missing authenticated user.
2026-08-16 04:14:17 | WARNING  | app.reports.validator | validator.py:49 | Report request rejected: missing authenticated user.
2026-08-16 04:14:17 | WARNING  | app.reports.validator | validator.py:49 | Report request rejected: missing authenticated user.
2026-08-16 04:14:17 | WARNING  | app.reports.validator | validator.py:85 | Report request rejected: total_records=1001 exceeds max_rows=1000 user_id=user-0001
2026-08-16 04:14:22 | WARNING  | app.reports.analytics.analytics_validator | analytics_validator.py:76 | Analytics request rejected: total_records=2 exceeds max_rows=1 user_id=user-0001
2026-08-16 04:14:22 | WARNING  | app.reports.csv.csv_validator | csv_validator.py:91 | CSV export rejected: total_records=2 exceeds max_rows=1 user_id=user-0001
2026-08-16 04:14:22 | WARNING  | app.reports.csv.csv_validator | csv_validator.py:124 | CSV export rejected: content_size_bytes=370 exceeds max_size_bytes=1 user_id=user-0001
2026-08-16 04:14:22 | WARNING  | app.reports.pdf.pdf_validator | pdf_validator.py:100 | PDF export rejected: total_records=2 exceeds max_rows=1 user_id=user-0001
2026-08-16 04:14:22 | WARNING  | app.reports.pdf.pdf_validator | pdf_validator.py:134 | PDF export rejected: content_size_bytes=2592 exceeds max_size_bytes=1 user_id=user-0001
2026-08-16 04:14:22 | WARNING  | app.reports.validator | validator.py:85 | Report request rejected: total_records=2 exceeds max_rows=1 user_id=user-0001
